species,0
Porphyromonas gingivalis,-0.3871726128747386
Proteus penneri,-0.32537682784907307
Klebsiella pneumoniae,-0.5300433626967942
Clostridium botulinum,-0.4768492237714016
Dialister invisus,-0.5608099397146352
Mycobacterium leprae,-0.38231135769832225
Nitrobacter hamburgensis,-0.4080020259205203
Kingella denitrificans,-0.32853231899740665
Prevotella melaninogenica (Bacteroides melaninogenicus),-0.4829217754904303
Streptococcus mutans,-0.42589630229537934
Bilophila wadsworthia,-0.5444794321595272
Citrobacter koseri,-0.571181631545187
Pseudomonas mendocina,-0.38699069422951377
Campylobacter gracilis,-0.5455142811017833
Bacteroides thetaiotaomicron,-0.685481402865669
Micrococcus luteus,-0.5060585316543117
Escherichia albertii,-0.5608099397146352
Pseudomonas fluorescens,-0.3113082190742317
Actinomyces viscosus,-0.5971276077948661
Mycobacterium avium,-0.43645030811017826
Listeria monocytogenes,-0.7084526640488172
Ureaplasma urealyticum,-0.32537682784907307
Haemophilus parainfluenzae,-0.39115051980896337
Mycobacterium tuberculosis,-0.5944937854415288
Staphylococcus lugdunensis,-0.7056816923511173
Desulfovibrio desulfuricans,-0.504310862806368
Staphylococcus saprophyticus,-0.5608099397146352
Prevotella copri,-0.5646557175896747
Corynebacterium diphtheriae,-0.5319642984503995
Fusobacterium nucleatum,-0.5692813341956402
Bacillus anthracis,-0.3193353332741115
Selenomonas noxia,-0.4470468756422391
Prevotella oris,-0.5608099397146352
Prevotella bryantii,-0.5236380262299704
Proteus mirabilis,-0.3502891801382024
Aeromonas hydrophila,-0.5020281754388841
Clostridium symbiosum,-0.30683929685714956
Brucella suis,-0.31712723194706627
Shigella boydii,-0.5358487237455972
Actinomyces urogenitalis,-0.5971276077948661
Staphylococcus haemolyticus,-0.5608099397146352
Enterobacter cloacae,-0.5212467367989807
Brucella melitensis,-0.2819032166751895
Atopobium vaginae,-0.5608099397146352
Aggregatibacter actinomycetemcomitans,-0.4731672933836518
Achromobacter xylosoxidans,-0.5488645461729069
Clostridium novyi,-0.37990690429212093
Salmonella enterica,-0.6375705278230688
Ureaplasma parvum,-0.32537682784907307
Bacteroides vulgatus,-0.7328604628660407
Escherichia fergusonii,-0.5608099397146352
Prevotella bivia,-0.5608099397146352
Neisseria gonorrhoeae,-0.30261198596342953
Moraxella catarrhalis,-0.32853231899740665
Streptococcus sanguinis,-0.2638451909698071
Clostridium difficile,-0.5501074491801946
Haemophilus influenzae,-0.42713541238873953
Ruminococcus gnavus,-0.6048295052856985
Bifidobacterium gallicum,-0.26138247146714505
Klebsiella variicola,-0.3428974657278995
Erysipelothrix rhusiopathiae,-0.5773406176517986
Nitrobacter winogradskyi,-0.4080020259205203
Clostridium perfringens,-0.6486255034628311
Clostridium tetani,-0.5035486426445868
Chromobacterium violaceum,-0.32853231899740665
Campylobacter jejuni,-0.5631438406032553
Streptococcus gordonii,-0.34679723992190703
Clostridium bolteae,-0.30683929685714956
Streptococcus pyogenes,-0.40506782615608766
Brucella abortus,-0.2819032166751895
Streptococcus pneumoniae,-0.258109295983327
Bacillus cereus,-0.3682639572250132
Shigella dysenteriae,-0.47985184713588586
Streptococcus bovis (Streptococcus equinus),-0.4999259527966111
Fusobacterium periodonticum,-0.5608099397146352
Enterococcus faecalis (Streptococcus faecalis),-0.5170615121415006
Bacteroides salanitronis,-0.7989023238349383
Bacillus licheniformis,-0.3190026163638471
Prevotella buccae,-0.5608099397146352
Pseudomonas aeruginosa,-0.3906285956118093
Comamonas testosteroni,-0.5144172209356883
Enterococcus casseliflavus,-0.6142235041799622
Ralstonia pickettii,-0.36845543700715977
Sutterella wadsworthensis,-0.5348902557435794
Streptococcus oralis,-0.2638451909698071
Veillonella parvula,-0.5196949878177685
Shigella flexneri,-0.4659111762404762
Granulibacter bethesdensis,-0.5500958074791995
Helicobacter pylori,-0.4157928123159461
Fusobacterium varium,-0.5608099397146352
Staphylococcus capitis,-0.5608099397146352
Nitrococcus mobilis,-0.4080020259205203
Shigella sonnei,-0.4350360518020827
