DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
,,,,,,,,,,521,,,,,,
,,,,,,,,,,17732,,,,,,
,,,,,,,,,,46216795,,,,,,
,,,,,,,,,,58258,,,,,,
,,,,,,,,,,6419764,,,,,,
,,,,,,,,,,5242187,,,,,,
,,,,,,,,,,49830252,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa8dd935138>,Dihydralazine,484-23-1,approved; experimental,VQKLRVZQQYVIJW-UHFFFAOYSA-N,"InChI=1S/C8H10N6/c9-11-7-5-3-1-2-4-6(5)8(12-10)14-13-7/h1-4H,9-10H2,(H,11,13)(H,12,14)",NN=C1NNC(=NN)C2=CC=CC=C12,C8H10N6,,,10230,347829088,134841,CHEMBL35505,,9813,50088433
,,,,,,,,,,9863,,,,,,
,,,,,,,,,,3433,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa910f5bbd8>,Levmetamfetamine,33817-09-3,approved,MYWUZJCMWCOHBA-SECBINFHSA-N,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m1/s1",CN[C@H](C)CC1=CC=CC=C1,C10H15N,,,36604,347827882,136013,CHEMBL1927030,,33634,50359500
,,,,,,,,,,6419834,,,,,,
,,,,,,,,,,121872,,,,,,
,,,,,,,,,,9982,,,,,,
,,,,,,,,,,54049289,,,,,,
,,,,,,,,,,6618,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa9008b0638>,Chlorine,,approved,KZBUYRJDOAKODT-UHFFFAOYSA-N,InChI=1S/Cl2/c1-2,ClCl,Cl2,,,24526,347827900,29310,,,22933,
,,,,,,,,,,124066,,,,,,
,,,,,,,,,,9826652,,,,,,
,,,,,,,,,,9799221,,,,,,
,,,,,,,,,,23663989,,,,,,
,,,,,,,,,,6536,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa9c1b294f8>,Danazol,17230-88-5,approved,POZRVZJJTULAOH-LHZXLZLDSA-N,"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,C22H27NO2,,D00289,28417,46506475,4315,CHEMBL1479,,26436,50423541
,,,,,,,,,,4745,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa9fc94b4a8>,Lomefloxacin,98079-51-7,approved; investigational,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,"InChI=1S/C17H19F2N3O3/c1-3-21-8-11(17(24)25)16(23)10-6-12(18)15(13(19)14(10)21)22-5-4-20-9(2)7-22/h6,8-9,20H,3-5,7H2,1-2H3,(H,24,25)",CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12,C17H19F2N3O3,C07078,D02318,3948,46508499,116278,CHEMBL561,,3811,50417952
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7faa26f11818>,Pentamidine,100-33-4,approved; investigational,XDRYMKDFEDOLFX-UHFFFAOYSA-N,"InChI=1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)",NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,C19H24N4O2,C07420,,4735,46508562,45081,CHEMBL55,PNT,4573,45440
,,,,,,,,,,23676880,,,,,,
,,,,,,,,,,11652416,,,,,,
,,,,,,,,,,10521421,,,,,,
,,,,,,,,,,14915,,,,,,
,,,,,,,,,,45356919,,,,,,
,,,,,,,,,,31316,,,,,,
,,,,,,,,,,11643509,,,,,,
,,,,,,,,,,15506,,,,,,
,,,,,,,,,,216237,,,,,,
,,,,,,,,,,158488,,,,,,
,,,,,,,,,,160871,,,,,,
,,,,,,,,,,137324,,,,,,
,,,,,,,,,,9559823,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa9aba88a98>,R048-8071,161582-11-2,experimental,CMYCCJYVZIMDFU-UHFFFAOYSA-N,"InChI=1S/C23H27BrFNO2/c1-3-14-26(2)15-6-4-5-7-16-28-20-12-13-21(22(25)17-20)23(27)18-8-10-19(24)11-9-18/h3,8-13,17H,1,4-7,14-16H2,2H3",CN(CCCCCCOC1=CC=C(C(=O)C2=CC=C(Br)C=C2)C(F)=C1)CC=C,C23H27BrFNO2,,,1949,46505901,101064,CHEMBL304858,R71,1873,50128065
,,,,,,,,,,12114431,,,,,,
,,,,,,,,,,447992,,,,,,
,,,,,,,,,,65019,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa93eeccc28>,Tavaborole,174671-46-6,approved; investigational,LFQDNHWZDQTITF-UHFFFAOYSA-N,"InChI=1S/C7H6BFO2/c9-6-1-2-7-5(3-6)4-11-8(7)10/h1-3,10H,4H2",OB1OCC2=CC(F)=CC=C12,C7H6BFO2,,D10169,11499245,310264989,77942,CHEMBL443052,,9674047,50370987
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa98bef4b88>,Dibromothymoquinone,29096-93-3,experimental,GHHZELQYJPWSMG-UHFFFAOYSA-N,"InChI=1S/C10H10Br2O2/c1-4(2)6-8(12)9(13)5(3)7(11)10(6)14/h4H,1-3H3",CC(C)C1=C(Br)C(=O)C(C)=C(Br)C1=O,C10H10Br2O2,,,34474,46505309,19371,CHEMBL1231418,BNT,31724,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fa8eac1b048>,BQ-123,136553-81-6,investigational,VYCMAAOURFJIHD-PJNXIOHISA-N,"InChI=1S/C31H42N6O7/c1-16(2)12-21-27(40)33-22(13-18-15-32-20-9-6-5-8-19(18)20)28(41)35-23(14-25(38)39)31(44)37-11-7-10-24(37)29(42)36-26(17(3)4)30(43)34-21/h5-6,8-9,15-17,21-24,26,32H,7,10-14H2,1-4H3,(H,33,40)(H,34,43)(H,35,41)(H,36,42)(H,38,39)/t21-,22+,23+,24-,26+/m0/s1",CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC1=O)C(C)C,C31H42N6O7,C11587,,443289,347828364,2965,CHEMBL314691,,391535,
,,,,,,,,,,2177,,,,,,
,,,,,,,,,,19130,,,,,,
