smpdbIDs,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval,pathway
SMP0063684,0.015089913406981145,0.015089913406981145,0.015089913406981145,0.015089913406981145,Tyrosine Metabolism
SMP0000006,0.049739855606328216,0.049739855606328216,0.049739855606328216,0.049739855606328216,Tyrosine Metabolism
SMP0000533,0.049739855606328216,0.049739855606328216,0.049739855606328216,0.049739855606328216,Monoamine Oxidase-A Deficiency (MAO-A)
SMP0000494,0.049739855606328216,0.049739855606328216,0.049739855606328216,0.049739855606328216,"Tyrosinemia, Transient, of the Newborn"
SMP0002041,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,Phenylethylamine Metabolism
SMP0002067,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,Putrescine Degradation II
SMP0000169,0.11169113730255559,0.11169113730255559,0.11169113730255559,0.11169113730255559,Alkaptonuria
SMP0000429,0.11169113730255559,0.11169113730255559,0.11169113730255559,0.11169113730255559,Disulfiram Action Pathway
SMP0063649,0.1271921312460991,0.1271921312460991,0.1271921312460991,0.1271921312460991,Phenylalanine and Tyrosine Metabolism
SMP0002360,0.14522859099735075,0.14522859099735075,0.14522859099735075,0.14522859099735075,Fatty Acid Biosynthesis 
SMP0000813,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,Ornithine Metabolism
SMP0063474,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,"Tropane, Piperidine, and Pyridine Alkaloid Biosynthesis"
SMP0002457,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,Tyrosine Metabolism
SMP0002349,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,Phenylalanine Metabolism
SMP0000218,0.20447111947541918,0.20447111947541918,0.20447111947541918,0.20447111947541918,Tyrosinemia Type I
SMP0000190,0.20447111947541918,0.20447111947541918,0.20447111947541918,0.20447111947541918,Hawkinsinuria
SMP0000369,0.20454338606040226,0.20454338606040226,0.20454338606040226,0.20454338606040226,Tyrosinemia Type 2 (or Richner-Hanhart Syndrome)
SMP0000456,0.20765073895682035,0.20765073895682035,0.20765073895682035,0.20765073895682035,Fatty Acid Biosynthesis
SMP0014219,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Phosphatidylcholine Biosynthesis PC(14:0/16:0)
SMP0002207,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Operon: Sugar Uptake
SMP0000071,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Ketone Body Metabolism
SMP0000310,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Corticotropin Activation of Cortisol Production
SMP0000623,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Heroin Metabolism Pathway
SMP0000842,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Mannose Metabolism
SMP0000688,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Naloxone Action Pathway
SMP0063660,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Pyruvaldehyde Degradation
SMP0014223,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Phosphatidylcholine Biosynthesis PC(14:0/18:1(9Z))
SMP0002113,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D-Serine Degradation
SMP0000080,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Polythiazide Action Pathway
SMP0014216,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Phosphatidylcholine Biosynthesis PC(14:0/14:0)
SMP0000453,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Nateglinide Action Pathway
SMP0002317,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Glutathione Metabolism
SMP0014236,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Phosphatidylcholine Biosynthesis PC(14:0/22:0)
SMP0000197,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Lysinuric Protein Intolerance
SMP0000488,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Hyperphenylalaninemia Due to 6-Pyruvoyltetrahydropterin Synthase Deficiency (ptps)
SMP0000135,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,Eplerenone Action Pathway
